"id_unique","rf15_no","rf15_show","rf15a","rf15b","rf15b_other","wgt"
"S10_1",1,"LAND/PROPERTY/BUILDINGS",3,,,1355
"S10_1",4,"NON-PHYSICAL ASSETS (EX. BANK ACCOUNT, TIME DEPOSIT)",3,,,1355
"S10_1",2,"VEHICLE",1,2,,1355
"S10_1",3,"OTHER MOVABLE ASSETS (EX. EQUIPMENT)",3,,,1355
"S10_12",2,"VEHICLE",1,2,,1355
"S10_12",4,"NON-PHYSICAL ASSETS (EX. BANK ACCOUNT, TIME DEPOSIT)",3,,,1355
"S10_12",1,"LAND/PROPERTY/BUILDINGS",1,5,,1355
"S10_12",3,"OTHER MOVABLE ASSETS (EX. EQUIPMENT)",3,,,1355
"S10_15",2,"VEHICLE",1,2,,1355
"S10_15",4,"NON-PHYSICAL ASSETS (EX. BANK ACCOUNT, TIME DEPOSIT)",3,,,1355
"S10_15",3,"OTHER MOVABLE ASSETS (EX. EQUIPMENT)",3,,,1355
"S10_15",1,"LAND/PROPERTY/BUILDINGS",1,4,,1355
"S10_22",2,"VEHICLE",1,4,,1355
"S10_22",3,"OTHER MOVABLE ASSETS (EX. EQUIPMENT)",3,,,1355
"S10_22",1,"LAND/PROPERTY/BUILDINGS",3,,,1355
"S10_22",4,"NON-PHYSICAL ASSETS (EX. BANK ACCOUNT, TIME DEPOSIT)",3,,,1355
"S10_28",4,"NON-PHYSICAL ASSETS (EX. BANK ACCOUNT, TIME DEPOSIT)",3,,,1355
"S10_28",1,"LAND/PROPERTY/BUILDINGS",3,,,1355
"S10_28",2,"VEHICLE",1,2,,1355
"S10_28",3,"OTHER MOVABLE ASSETS (EX. EQUIPMENT)",3,,,1355
"S10_40",1,"LAND/PROPERTY/BUILDINGS",3,,,1355
"S10_40",4,"NON-PHYSICAL ASSETS (EX. BANK ACCOUNT, TIME DEPOSIT)",3,,,1355
"S10_40",2,"VEHICLE",1,2,,1355
"S10_40",3,"OTHER MOVABLE ASSETS (EX. EQUIPMENT)",3,,,1355
"S10_42",3,"OTHER MOVABLE ASSETS (EX. EQUIPMENT)",3,,,1355
"S10_42",2,"VEHICLE",1,2,,1355
"S10_42",4,"NON-PHYSICAL ASSETS (EX. BANK ACCOUNT, TIME DEPOSIT)",3,,,1355
"S10_42",1,"LAND/PROPERTY/BUILDINGS",1,2,,1355
"S10_45",4,"NON-PHYSICAL ASSETS (EX. BANK ACCOUNT, TIME DEPOSIT)",3,,,1355
"S10_45",1,"LAND/PROPERTY/BUILDINGS",3,,,1355
"S10_45",2,"VEHICLE",1,2,,1355
"S10_45",3,"OTHER MOVABLE ASSETS (EX. EQUIPMENT)",3,,,1355
"S10_50",3,"OTHER MOVABLE ASSETS (EX. EQUIPMENT)",3,,,1355
"S10_50",1,"LAND/PROPERTY/BUILDINGS",1,4,,1355
"S10_50",2,"VEHICLE",1,2,,1355
"S10_50",4,"NON-PHYSICAL ASSETS (EX. BANK ACCOUNT, TIME DEPOSIT)",3,,,1355
"S10_52",1,"LAND/PROPERTY/BUILDINGS",3,,,1355
"S10_52",4,"NON-PHYSICAL ASSETS (EX. BANK ACCOUNT, TIME DEPOSIT)",3,,,1355
"S10_52",3,"OTHER MOVABLE ASSETS (EX. EQUIPMENT)",1,3,,1355
"S10_52",2,"VEHICLE",1,4,,1355
"S10_55",2,"VEHICLE",3,,,1355
"S10_55",1,"LAND/PROPERTY/BUILDINGS",1,4,,1355
"S10_55",4,"NON-PHYSICAL ASSETS (EX. BANK ACCOUNT, TIME DEPOSIT)",3,,,1355
"S10_55",3,"OTHER MOVABLE ASSETS (EX. EQUIPMENT)",3,,,1355
"S10_58",1,"LAND/PROPERTY/BUILDINGS",1,4,,1355
"S10_58",4,"NON-PHYSICAL ASSETS (EX. BANK ACCOUNT, TIME DEPOSIT)",3,,,1355
"S10_58",3,"OTHER MOVABLE ASSETS (EX. EQUIPMENT)",1,3,,1355
"S10_58",2,"VEHICLE",1,4,,1355
"S10_66",4,"NON-PHYSICAL ASSETS (EX. BANK ACCOUNT, TIME DEPOSIT)",3,,,1355
"S10_66",3,"OTHER MOVABLE ASSETS (EX. EQUIPMENT)",3,,,1355
"S10_66",1,"LAND/PROPERTY/BUILDINGS",1,4,,1355
"S10_66",2,"VEHICLE",1,4,,1355
"S10_72",2,"VEHICLE",1,2,,1355
"S10_72",4,"NON-PHYSICAL ASSETS (EX. BANK ACCOUNT, TIME DEPOSIT)",3,,,1355
"S10_72",1,"LAND/PROPERTY/BUILDINGS",1,5,,1355
"S10_72",3,"OTHER MOVABLE ASSETS (EX. EQUIPMENT)",3,,,1355
"S10_73",3,"OTHER MOVABLE ASSETS (EX. EQUIPMENT)",3,,,1355
"S10_73",2,"VEHICLE",1,2,,1355
"S10_73",4,"NON-PHYSICAL ASSETS (EX. BANK ACCOUNT, TIME DEPOSIT)",3,,,1355
"S10_73",1,"LAND/PROPERTY/BUILDINGS",1,2,,1355
"S10_77",1,"LAND/PROPERTY/BUILDINGS",1,2,,1355
"S10_77",4,"NON-PHYSICAL ASSETS (EX. BANK ACCOUNT, TIME DEPOSIT)",3,,,1355
"S10_77",2,"VEHICLE",1,2,,1355
"S10_77",3,"OTHER MOVABLE ASSETS (EX. EQUIPMENT)",1,3,,1355
"S11_122",1,"LAND/PROPERTY/BUILDINGS",1,4,,1082
"S11_122",3,"OTHER MOVABLE ASSETS (EX. EQUIPMENT)",1,4,,1082
"S11_122",4,"NON-PHYSICAL ASSETS (EX. BANK ACCOUNT, TIME DEPOSIT)",1,4,,1082
"S11_122",2,"VEHICLE",1,4,,1082
"S11_137",1,"LAND/PROPERTY/BUILDINGS",1,4,,1082
"S11_137",3,"OTHER MOVABLE ASSETS (EX. EQUIPMENT)",3,,,1082
"S11_137",4,"NON-PHYSICAL ASSETS (EX. BANK ACCOUNT, TIME DEPOSIT)",3,,,1082
"S11_137",2,"VEHICLE",1,4,,1082
"S11_139",2,"VEHICLE",1,4,,1082
"S11_139",4,"NON-PHYSICAL ASSETS (EX. BANK ACCOUNT, TIME DEPOSIT)",3,,,1082
"S11_139",1,"LAND/PROPERTY/BUILDINGS",1,4,,1082
"S11_139",3,"OTHER MOVABLE ASSETS (EX. EQUIPMENT)",3,,,1082
"S11_143",1,"LAND/PROPERTY/BUILDINGS",1,4,,1082
"S11_143",4,"NON-PHYSICAL ASSETS (EX. BANK ACCOUNT, TIME DEPOSIT)",3,,,1082
"S11_143",2,"VEHICLE",3,,,1082
"S11_143",3,"OTHER MOVABLE ASSETS (EX. EQUIPMENT)",3,,,1082
"S11_156",3,"OTHER MOVABLE ASSETS (EX. EQUIPMENT)",3,,,1082
"S11_156",1,"LAND/PROPERTY/BUILDINGS",3,,,1082
"S11_156",2,"VEHICLE",1,2,,1082
"S11_156",4,"NON-PHYSICAL ASSETS (EX. BANK ACCOUNT, TIME DEPOSIT)",3,,,1082
"S11_2",2,"VEHICLE",1,4,,1082
"S11_2",3,"OTHER MOVABLE ASSETS (EX. EQUIPMENT)",3,,,1082
"S11_2",4,"NON-PHYSICAL ASSETS (EX. BANK ACCOUNT, TIME DEPOSIT)",3,,,1082
"S11_2",1,"LAND/PROPERTY/BUILDINGS",1,4,,1082
"S11_3",2,"VEHICLE",1,3,,1082
"S11_3",3,"OTHER MOVABLE ASSETS (EX. EQUIPMENT)",1,2,,1082
"S11_3",1,"LAND/PROPERTY/BUILDINGS",1,2,,1082
"S11_3",4,"NON-PHYSICAL ASSETS (EX. BANK ACCOUNT, TIME DEPOSIT)",3,,,1082
"S11_4",1,"LAND/PROPERTY/BUILDINGS",1,5,,1082
"S11_4",2,"VEHICLE",1,2,,1082
"S11_4",3,"OTHER MOVABLE ASSETS (EX. EQUIPMENT)",3,,,1082
"S11_4",4,"NON-PHYSICAL ASSETS (EX. BANK ACCOUNT, TIME DEPOSIT)",3,,,1082
"S11_43",1,"LAND/PROPERTY/BUILDINGS",1,4,,1082
"S11_43",4,"NON-PHYSICAL ASSETS (EX. BANK ACCOUNT, TIME DEPOSIT)",3,,,1082
"S11_43",3,"OTHER MOVABLE ASSETS (EX. EQUIPMENT)",1,4,,1082
"S11_43",2,"VEHICLE",1,4,,1082
"S11_48",1,"LAND/PROPERTY/BUILDINGS",1,2,,1082
"S11_48",2,"VEHICLE",1,2,,1082
"S11_48",4,"NON-PHYSICAL ASSETS (EX. BANK ACCOUNT, TIME DEPOSIT)",3,,,1082
"S11_48",3,"OTHER MOVABLE ASSETS (EX. EQUIPMENT)",3,,,1082
"S11_53",2,"VEHICLE",1,2,,1082
"S11_53",1,"LAND/PROPERTY/BUILDINGS",1,2,,1082
"S11_53",3,"OTHER MOVABLE ASSETS (EX. EQUIPMENT)",1,5,,1082
"S11_53",4,"NON-PHYSICAL ASSETS (EX. BANK ACCOUNT, TIME DEPOSIT)",3,,,1082
"S11_55",3,"OTHER MOVABLE ASSETS (EX. EQUIPMENT)",3,,,1082
"S11_55",1,"LAND/PROPERTY/BUILDINGS",1,4,,1082
"S11_55",2,"VEHICLE",1,4,,1082
"S11_55",4,"NON-PHYSICAL ASSETS (EX. BANK ACCOUNT, TIME DEPOSIT)",3,,,1082
"S11_56",2,"VEHICLE",1,4,,1082
"S11_56",3,"OTHER MOVABLE ASSETS (EX. EQUIPMENT)",3,,,1082
"S11_56",4,"NON-PHYSICAL ASSETS (EX. BANK ACCOUNT, TIME DEPOSIT)",3,,,1082
"S11_56",1,"LAND/PROPERTY/BUILDINGS",3,,,1082
"S11_65",3,"OTHER MOVABLE ASSETS (EX. EQUIPMENT)",1,2,,1082
"S11_65",4,"NON-PHYSICAL ASSETS (EX. BANK ACCOUNT, TIME DEPOSIT)",3,,,1082
"S11_65",2,"VEHICLE",1,5,,1082
"S11_65",1,"LAND/PROPERTY/BUILDINGS",1,5,,1082
"S11_68",1,"LAND/PROPERTY/BUILDINGS",3,,,1082
"S11_68",4,"NON-PHYSICAL ASSETS (EX. BANK ACCOUNT, TIME DEPOSIT)",3,,,1082
"S11_68",3,"OTHER MOVABLE ASSETS (EX. EQUIPMENT)",3,,,1082
"S11_68",2,"VEHICLE",1,4,,1082
"S11_78",2,"VEHICLE",1,4,,1082
"S11_78",4,"NON-PHYSICAL ASSETS (EX. BANK ACCOUNT, TIME DEPOSIT)",1,4,,1082
"S11_78",3,"OTHER MOVABLE ASSETS (EX. EQUIPMENT)",3,,,1082
"S11_78",1,"LAND/PROPERTY/BUILDINGS",3,,,1082
"S12_1",3,"OTHER MOVABLE ASSETS (EX. EQUIPMENT)",1,4,,1454
"S12_1",1,"LAND/PROPERTY/BUILDINGS",1,4,,1454
"S12_1",4,"NON-PHYSICAL ASSETS (EX. BANK ACCOUNT, TIME DEPOSIT)",3,,,1454
"S12_1",2,"VEHICLE",1,4,,1454
"S12_11",1,"LAND/PROPERTY/BUILDINGS",3,,,1454
"S12_11",4,"NON-PHYSICAL ASSETS (EX. BANK ACCOUNT, TIME DEPOSIT)",3,,,1454
"S12_11",3,"OTHER MOVABLE ASSETS (EX. EQUIPMENT)",1,4,,1454
"S12_11",2,"VEHICLE",1,4,,1454
"S12_23",4,"NON-PHYSICAL ASSETS (EX. BANK ACCOUNT, TIME DEPOSIT)",3,,,1454
"S12_23",1,"LAND/PROPERTY/BUILDINGS",1,4,,1454
"S12_23",2,"VEHICLE",1,4,,1454
"S12_23",3,"OTHER MOVABLE ASSETS (EX. EQUIPMENT)",3,,,1454
"S12_26",2,"VEHICLE",1,5,,1454
"S12_26",3,"OTHER MOVABLE ASSETS (EX. EQUIPMENT)",1,2,,1454
"S12_26",4,"NON-PHYSICAL ASSETS (EX. BANK ACCOUNT, TIME DEPOSIT)",3,,,1454
"S12_26",1,"LAND/PROPERTY/BUILDINGS",1,5,,1454
"S12_32",3,"OTHER MOVABLE ASSETS (EX. EQUIPMENT)",3,,,1454
"S12_32",1,"LAND/PROPERTY/BUILDINGS",1,2,,1454
"S12_32",4,"NON-PHYSICAL ASSETS (EX. BANK ACCOUNT, TIME DEPOSIT)",3,,,1454
"S12_32",2,"VEHICLE",1,4,,1454
"S12_33",2,"VEHICLE",1,4,,1454
"S12_33",1,"LAND/PROPERTY/BUILDINGS",1,4,,1454
"S12_33",3,"OTHER MOVABLE ASSETS (EX. EQUIPMENT)",3,,,1454
"S12_33",4,"NON-PHYSICAL ASSETS (EX. BANK ACCOUNT, TIME DEPOSIT)",3,,,1454
"S12_37",4,"NON-PHYSICAL ASSETS (EX. BANK ACCOUNT, TIME DEPOSIT)",3,,,1454
"S12_37",3,"OTHER MOVABLE ASSETS (EX. EQUIPMENT)",3,,,1454
"S12_37",1,"LAND/PROPERTY/BUILDINGS",1,5,,1454
"S12_37",2,"VEHICLE",1,2,,1454
"S12_5",4,"NON-PHYSICAL ASSETS (EX. BANK ACCOUNT, TIME DEPOSIT)",3,,,1454
"S12_5",2,"VEHICLE",1,2,,1454
"S12_5",1,"LAND/PROPERTY/BUILDINGS",1,2,,1454
"S12_5",3,"OTHER MOVABLE ASSETS (EX. EQUIPMENT)",1,3,,1454
"S12_51",1,"LAND/PROPERTY/BUILDINGS",3,,,1454
"S12_51",2,"VEHICLE",3,,,1454
"S12_51",4,"NON-PHYSICAL ASSETS (EX. BANK ACCOUNT, TIME DEPOSIT)",3,,,1454
"S12_51",3,"OTHER MOVABLE ASSETS (EX. EQUIPMENT)",1,3,,1454
"S12_54",4,"NON-PHYSICAL ASSETS (EX. BANK ACCOUNT, TIME DEPOSIT)",3,,,1454
"S12_54",2,"VEHICLE",3,,,1454
"S12_54",1,"LAND/PROPERTY/BUILDINGS",1,4,,1454
"S12_54",3,"OTHER MOVABLE ASSETS (EX. EQUIPMENT)",3,,,1454
"S12_62",2,"VEHICLE",1,2,,1454
"S12_62",3,"OTHER MOVABLE ASSETS (EX. EQUIPMENT)",3,,,1454
"S12_62",4,"NON-PHYSICAL ASSETS (EX. BANK ACCOUNT, TIME DEPOSIT)",3,,,1454
"S12_62",1,"LAND/PROPERTY/BUILDINGS",1,4,,1454
"S12_63",1,"LAND/PROPERTY/BUILDINGS",1,4,,1454
"S12_63",3,"OTHER MOVABLE ASSETS (EX. EQUIPMENT)",3,,,1454
"S12_63",4,"NON-PHYSICAL ASSETS (EX. BANK ACCOUNT, TIME DEPOSIT)",3,,,1454
"S12_63",2,"VEHICLE",1,4,,1454
"S12_70",1,"LAND/PROPERTY/BUILDINGS",3,,,1454
"S12_70",4,"NON-PHYSICAL ASSETS (EX. BANK ACCOUNT, TIME DEPOSIT)",3,,,1454
"S12_70",3,"OTHER MOVABLE ASSETS (EX. EQUIPMENT)",1,4,,1454
"S12_70",2,"VEHICLE",1,2,,1454
"S12_77",4,"NON-PHYSICAL ASSETS (EX. BANK ACCOUNT, TIME DEPOSIT)",3,,,1454
"S12_77",2,"VEHICLE",1,4,,1454
"S12_77",1,"LAND/PROPERTY/BUILDINGS",1,4,,1454
"S12_77",3,"OTHER MOVABLE ASSETS (EX. EQUIPMENT)",3,,,1454
"S12_78",4,"NON-PHYSICAL ASSETS (EX. BANK ACCOUNT, TIME DEPOSIT)",3,,,1454
"S12_78",1,"LAND/PROPERTY/BUILDINGS",1,2,,1454
"S12_78",3,"OTHER MOVABLE ASSETS (EX. EQUIPMENT)",3,,,1454
"S12_78",2,"VEHICLE",1,2,,1454
"S12_91",4,"NON-PHYSICAL ASSETS (EX. BANK ACCOUNT, TIME DEPOSIT)",3,,,1454
"S12_91",3,"OTHER MOVABLE ASSETS (EX. EQUIPMENT)",3,,,1454
"S12_91",2,"VEHICLE",1,4,,1454
"S12_91",1,"LAND/PROPERTY/BUILDINGS",1,4,,1454
"S13_107",2,"VEHICLE",3,,,5808
"S13_107",4,"NON-PHYSICAL ASSETS (EX. BANK ACCOUNT, TIME DEPOSIT)",3,,,5808
"S13_107",1,"LAND/PROPERTY/BUILDINGS",1,4,,5808
"S13_107",3,"OTHER MOVABLE ASSETS (EX. EQUIPMENT)",3,,,5808
"S13_108",4,"NON-PHYSICAL ASSETS (EX. BANK ACCOUNT, TIME DEPOSIT)",3,,,5808
"S13_108",1,"LAND/PROPERTY/BUILDINGS",1,1,,5808
"S13_108",2,"VEHICLE",3,,,5808
"S13_108",3,"OTHER MOVABLE ASSETS (EX. EQUIPMENT)",3,,,5808
"S13_109",1,"LAND/PROPERTY/BUILDINGS",1,4,,5808
"S13_109",2,"VEHICLE",1,4,,5808
"S13_109",4,"NON-PHYSICAL ASSETS (EX. BANK ACCOUNT, TIME DEPOSIT)",3,,,5808
"S13_109",3,"OTHER MOVABLE ASSETS (EX. EQUIPMENT)",3,,,5808
"S13_110",3,"OTHER MOVABLE ASSETS (EX. EQUIPMENT)",3,,,5808
"S13_110",4,"NON-PHYSICAL ASSETS (EX. BANK ACCOUNT, TIME DEPOSIT)",3,,,5808
"S13_110",1,"LAND/PROPERTY/BUILDINGS",1,4,,5808
"S13_110",2,"VEHICLE",3,,,5808
"S13_111",4,"NON-PHYSICAL ASSETS (EX. BANK ACCOUNT, TIME DEPOSIT)",3,,,5808
"S13_111",1,"LAND/PROPERTY/BUILDINGS",1,2,,5808
"S13_111",3,"OTHER MOVABLE ASSETS (EX. EQUIPMENT)",1,2,,5808
"S13_111",2,"VEHICLE",1,2,,5808
"S13_118",3,"OTHER MOVABLE ASSETS (EX. EQUIPMENT)",3,,,5808
"S13_118",4,"NON-PHYSICAL ASSETS (EX. BANK ACCOUNT, TIME DEPOSIT)",3,,,5808
"S13_118",1,"LAND/PROPERTY/BUILDINGS",1,5,,5808
"S13_118",2,"VEHICLE",1,2,,5808
"S13_120",4,"NON-PHYSICAL ASSETS (EX. BANK ACCOUNT, TIME DEPOSIT)",1,2,,5808
"S13_120",3,"OTHER MOVABLE ASSETS (EX. EQUIPMENT)",3,,,5808
"S13_120",1,"LAND/PROPERTY/BUILDINGS",1,95,"PARENTS (NON HH MEMBER)",5808
"S13_120",2,"VEHICLE",1,2,,5808
"S13_121",3,"OTHER MOVABLE ASSETS (EX. EQUIPMENT)",3,,,5808
"S13_121",2,"VEHICLE",1,95,"PARENTS (NON HH MEMBER)",5808
"S13_121",1,"LAND/PROPERTY/BUILDINGS",3,,,5808
"S13_121",4,"NON-PHYSICAL ASSETS (EX. BANK ACCOUNT, TIME DEPOSIT)",3,,,5808
"S13_122",3,"OTHER MOVABLE ASSETS (EX. EQUIPMENT)",3,,,5808
"S13_122",1,"LAND/PROPERTY/BUILDINGS",1,95,"PARENTS (NON HH MEMBER)",5808
"S13_122",2,"VEHICLE",1,2,,5808
"S13_122",4,"NON-PHYSICAL ASSETS (EX. BANK ACCOUNT, TIME DEPOSIT)",3,,,5808
"S13_123",3,"OTHER MOVABLE ASSETS (EX. EQUIPMENT)",3,,,5808
"S13_123",2,"VEHICLE",1,2,,5808
"S13_123",4,"NON-PHYSICAL ASSETS (EX. BANK ACCOUNT, TIME DEPOSIT)",3,,,5808
"S13_123",1,"LAND/PROPERTY/BUILDINGS",1,4,,5808
"S13_13",1,"LAND/PROPERTY/BUILDINGS",3,,,5808
"S13_13",4,"NON-PHYSICAL ASSETS (EX. BANK ACCOUNT, TIME DEPOSIT)",3,,,5808
"S13_13",2,"VEHICLE",1,5,,5808
"S13_13",3,"OTHER MOVABLE ASSETS (EX. EQUIPMENT)",3,,,5808
"S13_139",2,"VEHICLE",1,2,,5808
"S13_139",4,"NON-PHYSICAL ASSETS (EX. BANK ACCOUNT, TIME DEPOSIT)",3,,,5808
"S13_139",3,"OTHER MOVABLE ASSETS (EX. EQUIPMENT)",3,,,5808
"S13_139",1,"LAND/PROPERTY/BUILDINGS",1,95,"SISTER/BROTHER (NON HH MEMBER)",5808
"S13_144",1,"LAND/PROPERTY/BUILDINGS",1,4,,5808
"S13_144",2,"VEHICLE",3,,,5808
"S13_144",3,"OTHER MOVABLE ASSETS (EX. EQUIPMENT)",3,,,5808
"S13_144",4,"NON-PHYSICAL ASSETS (EX. BANK ACCOUNT, TIME DEPOSIT)",1,2,,5808
"S13_17",3,"OTHER MOVABLE ASSETS (EX. EQUIPMENT)",3,,,5808
"S13_17",1,"LAND/PROPERTY/BUILDINGS",1,4,,5808
"S13_17",4,"NON-PHYSICAL ASSETS (EX. BANK ACCOUNT, TIME DEPOSIT)",3,,,5808
"S13_17",2,"VEHICLE",1,4,,5808
"S13_24",1,"LAND/PROPERTY/BUILDINGS",1,4,,5808
"S13_24",2,"VEHICLE",1,4,,5808
"S13_24",4,"NON-PHYSICAL ASSETS (EX. BANK ACCOUNT, TIME DEPOSIT)",3,,,5808
"S13_24",3,"OTHER MOVABLE ASSETS (EX. EQUIPMENT)",3,,,5808
"S13_28",1,"LAND/PROPERTY/BUILDINGS",1,2,,5808
"S13_28",3,"OTHER MOVABLE ASSETS (EX. EQUIPMENT)",3,,,5808
"S13_28",2,"VEHICLE",3,,,5808
"S13_28",4,"NON-PHYSICAL ASSETS (EX. BANK ACCOUNT, TIME DEPOSIT)",3,,,5808
"S13_42",2,"VEHICLE",1,2,,5808
"S13_42",1,"LAND/PROPERTY/BUILDINGS",1,2,,5808
"S13_42",3,"OTHER MOVABLE ASSETS (EX. EQUIPMENT)",3,,,5808
"S13_42",4,"NON-PHYSICAL ASSETS (EX. BANK ACCOUNT, TIME DEPOSIT)",3,,,5808
"S13_46",4,"NON-PHYSICAL ASSETS (EX. BANK ACCOUNT, TIME DEPOSIT)",3,,,5808
"S13_46",3,"OTHER MOVABLE ASSETS (EX. EQUIPMENT)",1,2,,5808
"S13_46",1,"LAND/PROPERTY/BUILDINGS",1,4,,5808
"S13_46",2,"VEHICLE",1,4,,5808
"S13_53",4,"NON-PHYSICAL ASSETS (EX. BANK ACCOUNT, TIME DEPOSIT)",3,,,5808
"S13_53",3,"OTHER MOVABLE ASSETS (EX. EQUIPMENT)",3,,,5808
"S13_53",2,"VEHICLE",1,2,,5808
"S13_53",1,"LAND/PROPERTY/BUILDINGS",1,2,,5808
"S13_54",4,"NON-PHYSICAL ASSETS (EX. BANK ACCOUNT, TIME DEPOSIT)",3,,,5808
"S13_54",1,"LAND/PROPERTY/BUILDINGS",1,5,,5808
"S13_54",2,"VEHICLE",1,5,,5808
"S13_54",3,"OTHER MOVABLE ASSETS (EX. EQUIPMENT)",3,,,5808
"S13_59",2,"VEHICLE",3,,,5808
"S13_59",3,"OTHER MOVABLE ASSETS (EX. EQUIPMENT)",3,,,5808
"S13_59",4,"NON-PHYSICAL ASSETS (EX. BANK ACCOUNT, TIME DEPOSIT)",3,,,5808
"S13_59",1,"LAND/PROPERTY/BUILDINGS",1,4,,5808
"S13_78",1,"LAND/PROPERTY/BUILDINGS",1,95,"PARENTS (NON HH MEMBER)",5808
"S13_78",4,"NON-PHYSICAL ASSETS (EX. BANK ACCOUNT, TIME DEPOSIT)",3,,,5808
"S13_78",2,"VEHICLE",1,3,,5808
"S13_78",3,"OTHER MOVABLE ASSETS (EX. EQUIPMENT)",1,3,,5808
"S13_83",4,"NON-PHYSICAL ASSETS (EX. BANK ACCOUNT, TIME DEPOSIT)",3,,,5808
"S13_83",2,"VEHICLE",1,2,,5808
"S13_83",1,"LAND/PROPERTY/BUILDINGS",3,,,5808
"S13_83",3,"OTHER MOVABLE ASSETS (EX. EQUIPMENT)",3,,,5808
"S13_98",1,"LAND/PROPERTY/BUILDINGS",1,4,,5808
"S13_98",2,"VEHICLE",1,5,,5808
"S13_98",3,"OTHER MOVABLE ASSETS (EX. EQUIPMENT)",3,,,5808
"S13_98",4,"NON-PHYSICAL ASSETS (EX. BANK ACCOUNT, TIME DEPOSIT)",3,,,5808
"S14_118",2,"VEHICLE",1,4,,5858
"S14_118",4,"NON-PHYSICAL ASSETS (EX. BANK ACCOUNT, TIME DEPOSIT)",3,,,5858
"S14_118",1,"LAND/PROPERTY/BUILDINGS",1,2,,5858
"S14_118",3,"OTHER MOVABLE ASSETS (EX. EQUIPMENT)",3,,,5858
"S14_119",1,"LAND/PROPERTY/BUILDINGS",1,2,,5858
"S14_119",2,"VEHICLE",1,2,,5858
"S14_119",4,"NON-PHYSICAL ASSETS (EX. BANK ACCOUNT, TIME DEPOSIT)",3,,,5858
"S14_119",3,"OTHER MOVABLE ASSETS (EX. EQUIPMENT)",3,,,5858
"S14_12",3,"OTHER MOVABLE ASSETS (EX. EQUIPMENT)",1,3,,5858
"S14_12",1,"LAND/PROPERTY/BUILDINGS",3,,,5858
"S14_12",4,"NON-PHYSICAL ASSETS (EX. BANK ACCOUNT, TIME DEPOSIT)",3,,,5858
"S14_12",2,"VEHICLE",3,,,5858
"S14_120",2,"VEHICLE",1,4,,5858
"S14_120",3,"OTHER MOVABLE ASSETS (EX. EQUIPMENT)",1,4,,5858
"S14_120",1,"LAND/PROPERTY/BUILDINGS",1,4,,5858
"S14_120",4,"NON-PHYSICAL ASSETS (EX. BANK ACCOUNT, TIME DEPOSIT)",3,,,5858
"S14_130",4,"NON-PHYSICAL ASSETS (EX. BANK ACCOUNT, TIME DEPOSIT)",3,,,5858
"S14_130",1,"LAND/PROPERTY/BUILDINGS",3,,,5858
"S14_130",2,"VEHICLE",1,2,,5858
"S14_130",3,"OTHER MOVABLE ASSETS (EX. EQUIPMENT)",3,,,5858
"S14_145",4,"NON-PHYSICAL ASSETS (EX. BANK ACCOUNT, TIME DEPOSIT)",3,,,5858
"S14_145",1,"LAND/PROPERTY/BUILDINGS",1,2,,5858
"S14_145",2,"VEHICLE",1,4,,5858
"S14_145",3,"OTHER MOVABLE ASSETS (EX. EQUIPMENT)",3,,,5858
"S14_155",3,"OTHER MOVABLE ASSETS (EX. EQUIPMENT)",3,,,5858
"S14_155",2,"VEHICLE",1,2,,5858
"S14_155",4,"NON-PHYSICAL ASSETS (EX. BANK ACCOUNT, TIME DEPOSIT)",3,,,5858
"S14_155",1,"LAND/PROPERTY/BUILDINGS",1,3,,5858
"S14_161",3,"OTHER MOVABLE ASSETS (EX. EQUIPMENT)",1,3,,5858
"S14_161",4,"NON-PHYSICAL ASSETS (EX. BANK ACCOUNT, TIME DEPOSIT)",3,,,5858
"S14_161",1,"LAND/PROPERTY/BUILDINGS",1,4,,5858
"S14_161",2,"VEHICLE",1,2,,5858
"S14_174",3,"OTHER MOVABLE ASSETS (EX. EQUIPMENT)",1,3,,5858
"S14_174",2,"VEHICLE",1,2,,5858
"S14_174",1,"LAND/PROPERTY/BUILDINGS",1,3,,5858
"S14_174",4,"NON-PHYSICAL ASSETS (EX. BANK ACCOUNT, TIME DEPOSIT)",3,,,5858
"S14_177",1,"LAND/PROPERTY/BUILDINGS",1,3,,5858
"S14_177",3,"OTHER MOVABLE ASSETS (EX. EQUIPMENT)",3,,,5858
"S14_177",2,"VEHICLE",1,3,,5858
"S14_177",4,"NON-PHYSICAL ASSETS (EX. BANK ACCOUNT, TIME DEPOSIT)",3,,,5858
"S14_183",1,"LAND/PROPERTY/BUILDINGS",1,2,,5858
"S14_183",2,"VEHICLE",1,4,,5858
"S14_183",3,"OTHER MOVABLE ASSETS (EX. EQUIPMENT)",3,,,5858
"S14_183",4,"NON-PHYSICAL ASSETS (EX. BANK ACCOUNT, TIME DEPOSIT)",3,,,5858
"S14_189",3,"OTHER MOVABLE ASSETS (EX. EQUIPMENT)",1,4,,5858
"S14_189",1,"LAND/PROPERTY/BUILDINGS",1,2,,5858
"S14_189",2,"VEHICLE",1,4,,5858
"S14_189",4,"NON-PHYSICAL ASSETS (EX. BANK ACCOUNT, TIME DEPOSIT)",3,,,5858
"S14_206",2,"VEHICLE",1,4,,5858
"S14_206",4,"NON-PHYSICAL ASSETS (EX. BANK ACCOUNT, TIME DEPOSIT)",3,,,5858
"S14_206",1,"LAND/PROPERTY/BUILDINGS",1,4,,5858
"S14_206",3,"OTHER MOVABLE ASSETS (EX. EQUIPMENT)",3,,,5858
